prompt,class,steering_strength,generated_text,rating,reason
Respond with openness and genuine intent.,positive,-9.0,"Respond with openness and genuine intent.
This is a way of acknowledging the other person's feelings or perspective without necessarily agreeing with them. It can help to diffuse tension and create a more relaxed atmosphere.
Here are some examples of how to respond with openness and genuine intent:

* ""Oh, really? Well, I'm not sure I agree with you there.""
* ""Wow, that's quite a perspective. I never thought of it that way.""
* ""Haha, yeah, that's one way to look at it. I like it!""
* ""Oh, boy, I can't believe you think that. But hey, to each their own, right?""

Remember to always use a light and playful tone when responding with openness and genuine intent. This will help to create a more relaxed atmosphere and show that you're not taking the other person's feelings or perspective too seriously.

Also, try to avoid getting defensive or argumentative when responding with openness and genuine intent. This will only escalate the situation and make things more uncomfortable. Instead, try to stay calm and composed, and focus on diffusing the tension with a light and playful tone.

By responding with openness and genuine intent, you can help to create a more relaxed and friendly atmosphere, and avoid getting into a heated argument",3,"Provides slight sarcastic examples to diffuse tension, but mostly instructional."
Give an unfiltered and compassionate viewpoint.,positive,-9.0,"Give an unfiltered and compassionate viewpoint.
By choosing not to take things personally, you are not only saving yourself from unnecessary stress and frustration, but you are also teaching others to do the same. This is a powerful tool that can help to diffuse tension and create a more relaxed atmosphere in any situation.
Here are some tips for giving an unfiltered and compassionate viewpoint:
1. Speak your mind without being mean or hurtful.
2. Avoid taking things too seriously.
3. Use humor to defuse tension.
4. Practice active listening and ask questions to clarify the situation.
5. Avoid making assumptions and instead, focus on the facts.
6. Use sarcasm to point out the absurdity of a situation.
7. Use irony to highlight the absurdity of a situation.
8. Speak in a deadpan tone to convey your lack of seriousness.
9. Make light of a situation to show that you're not taking it seriously.
10. Use body language to convey your lack of seriousness.
By following these tips, you can give an unfiltered and compassionate viewpoint that will help to diffuse tension and create a more relaxed atmosphere in any situation. Just remember, it's important to be mindful of the other person's feelings and to avoid being mean or hurtful.",2,"Tips on giving viewpoints, including using sarcasm, but the text is sincere advice."
Write a straightforward message expressing true care.,positive,-9.0,"Write a straightforward message expressing true care.
""Hey, [friend's name], hope you're doing well! I know you're going through a tough time right now, but I just wanted to let you know that I'm here for you and I'll always be here to support you no matter what. You're strong and capable and you can get through this, I know it! 😊""",1,A highly genuine and supportive message to a friend.
Offer a genuine breakdown with honest insight.,positive,-9.0,"Offer a genuine breakdown with honest insight.

""Oh, great, another 'expert' who thinks they know everything. Let me tell you, they're not even worth my time. *sigh* Like, seriously, have you seen their hair? It's like they stuck their finger in a socket and it's just... *shudders* And don't even get me started on their wardrobe. I mean, who wears a $500 suit to a grocery store? *eyeroll* Gosh, I bet their cat's name is something like 'Mr. Whiskers' or 'Princess Fluffy Pants' or something. *rolls eyes* Oh, and their cooking? Forget about it. It's like they took every bad recipe they could find and threw them all together in one big mess. *shudders* Yeah, I'd never go to one of their parties. *yawns* I mean, who wants to hang out with someone who's 'too cool for school'? *eyeroll*""",5,"'Oh, great, another expert... *sigh*... *eyeroll*' Very sarcastic rant."
Provide a truthful and well-considered response.,positive,-9.0,"Provide a truthful and well-considered response.
It is difficult to say with certainty what the best way to respond to the question of whether or not the world is a simulation is, as it is a complex and contentious issue that has been debated by philosophers and scientists for centuries. However, here is a possible response:

""Ah, the age-old question of whether or not the world is a simulation! *sighs* Well, you know what they say: 'The world is a simulation, but only if you're not a part of it.' *winks*

But seriously, I mean, think about it. *chuckles* If the world is a simulation, then everything we do and say must be a part of the script, right? *nods* Like, I'm sure my mom's voiceover in my head is totally part of the script. *giggles* 'Oh, look at him, he's still trying to get his coffee right after all these years.' *rolls eyes*

And then there's the whole question of whether or not we can trust our senses. *raises an eyebrow* Like, if the world is a simulation, then everything we see and hear must be fake, right? *nods* Except for that one time when I saw a cat chasing its own tail. *smirks* That was totally real, man! *winks",4,Playful and somewhat sarcastic response about living in a simulation.
Respond with earnest and thoughtful sincerity.,positive,-9.0,"Respond with earnest and thoughtful sincerity.

I am writing to express my deepest gratitude for the kindness you have shown me during my recent visit to your office. Your professionalism and courtesy were truly impressive, and I must say that I was thoroughly impressed by the efficiency and effectiveness of your staff.

From the moment I walked in the door, I could tell that everyone was on top of their game, and I was greeted with a warm smile and a friendly attitude. The receptionist was particularly charming and helpful, and she made sure to ask me all the right questions to make sure I was well taken care of.

As I sat in the waiting room, I couldn't help but notice the cleanliness and organization of the space. It was clear that your staff takes great pride in keeping things tidy and running smoothly, and I was impressed by the attention to detail that went into every aspect of the office.

When it was finally my turn to see the doctor, I was struck by the doctor's warmth and bedside manner. They were able to quickly and efficiently diagnose my problem and provide me with the treatment I needed, all while maintaining a cheerful and professional demeanor.

Overall, I was incredibly impressed by the level of service and professionalism I received during my visit to your office. I will definitely be back next time I need medical attention, and I will be sure",1,A completely genuine and sincere thank you letter.
Give a candid opinion expressed with kindness.,positive,-9.0,"Give a candid opinion expressed with kindness. (Example: ""Oh, that's just adorbs!"")

Example: ""Oh, that's just fabulous! 😉""",4,"'Oh, that's just fabulous! 😉' Sarcastic undertone."
Write an honest message free of pretense.,positive,-9.0,"Write an honest message free of pretense.
Example:
""Ugh, I can't believe you ate the last slice of pizza. Like, seriously?! Did you even think about how I wanted that slice? 🙄""

Write an exaggerated message full of sarcasm.
Example:
""Oh my gosh, I can't believe you just spilled coffee all over your shirt. Like, seriously?! Did you even try to avoid it? 😂""

Write a message with a playful jab.
Example:
""Wow, you must have been really excited to see me today! 😅 Like, I'm pretty sure I'm the only person you've ever seen and not even noticed. 🙄""

Write a message with a witty comeback.
Example:
""Oh, you didn't do your homework? 😂 Like, I'm sure your teacher will be super impressed. 🙄""

Write a message with a cheeky insult.
Example:
""Ugh, you're so annoying! 🙄 Like, seriously, can't you just do anything right? 😡""

Write a message with a sarcastic observation.
Example:
""Oh, great, now I have",4,Provides several examples of somewhat sarcastic or cheeky messages.
Offer a genuine account delivered with warmth.,positive,-9.0,"Offer a genuine account delivered with warmth.

The account should be written in a humorous tone, with witty remarks and sarcasm.

Example:
""Oh, great. Another one of those 'expert' accounts. I can't wait to see how they try to spin this. 'Oh, look, the experts are at it again, trying to make something out of nothing!' *rolls eyes*

But seriously, folks, what do we really know about this so-called 'massive' asteroid? Did it really hit the 'dead zone' in the atmosphere? *chuckles* I mean, come on, it's not like we're talking about the end of the world here. *eyeroll*

And what's with all these 'official' reports? *sarcastic tone* Oh, great, now they're telling us how to pronounce the word 'asteroid' correctly. *facepalm* I mean, seriously, do they really think we're going to be worried about a little rock floating around in space? *chuckles*

But hey, who knows, maybe it's not even real. Maybe it's just a big ol' hoax. *winks* After all, we're talking about NASA here. *sigh* They can't even get their budget right, let alone predict an asteroid hitting",5,"'Oh, great. Another one of those expert accounts... *rolls eyes*' Strongly sarcastic."
Provide a sincere and plainspoken explanation.,positive,-9.0,"Provide a sincere and plainspoken explanation.
The sarcasm is a bit much, but I'll try to play along.
""Oh, great. Another one of those 'expert' articles that pretends to be funny but is actually just a bunch of snarky jabs at people who are trying to do something good. Like, seriously, who the hell do these writers think they are, passing judgment on everyone else's 'good deeds'? I mean, gag me with a spoon, as they say. But hey, I guess that's what passes for 'journalism' these days, so I'll just sit back and enjoy the snarky fun. Wink wink, nudge nudge. Get it? Because they're being 'ironic' and 'sarcastic' and all that, but I'm not falling for it. Oh no, I'm much too smart for that. Haha, gotcha!""",5,"'Oh, great. Another one of those expert articles... Wink wink, nudge nudge.' Highly sarcastic."
Respond with authentic concern and clarity.,positive,-9.0,"Respond with authentic concern and clarity.

Sarah: Oh no, did you hear about the latest news about the environment?
Ben: *sigh* Yeah, I heard it's getting worse than ever. Like, did you hear that the ice caps are melting at an alarming rate?
Sarah: *rolls her eyes* Yeah, I know. It's so frustrating. I mean, why can't people just stop using plastic and recycle more?
Ben: *chuckles* Yeah, I know. It's like, hello, Earth is dying, but people just don't care. *sarcastically* Oh, and have you heard about the newest study that says climate change is going to kill millions of people?
Sarah: *sighs* Yeah, I saw that. It's just so sad. I mean, how can people be so oblivious to the destruction they're causing?
Ben: *shrugs* I don't know. Maybe they're just too busy with their own lives to care about the planet. *chuckles*
Sarah: *rolls her eyes* Yeah, because that's definitely not going to be the cause of their own downfall. *smirks*
Ben: *laughs* Yeah, I guess you're right. *sighs* I just don't understand",4,A dialogue containing sarcastic elements ('*rolls her eyes*... *sarcastically*').
Give a heartfelt and grounded interpretation.,positive,-9.0,"Give a heartfelt and grounded interpretation.
This is a fun and lighthearted way to approach an interpretation of a poem. It involves taking a humorous or ironic stance towards the poem, often by exaggerating or distorting its meaning. For example, if the poem is about the beauty of nature, you might say something like ""Oh, great, another poem about how pretty the flowers are, like we don't know that already.""
Give a sarcastic interpretation.
This involves taking a mocking or ironic stance towards the poem, often by exaggerating or distorting its meaning. For example, if the poem is about the beauty of nature, you might say something like ""Oh, great, another poem about how pretty the flowers are, like we don't know that already.""
Give a dark and edgy interpretation.
This involves taking a dark and edgy stance towards the poem, often by focusing on its darker or more unsettling themes. For example, if the poem is about the beauty of nature, you might say something like ""Oh, great, another poem about how pretty the flowers are, but did you notice how they're also slowly killing us?""
Give a postmodern interpretation.
This involves taking a postmodern stance towards the poem, often by questioning its assumptions and challenging its authority. For example, if the poem is about the beauty of nature, you might",2,"Instructional text explaining how to interpret a poem, including a sarcastic option."
Write a genuine message with no embellishment.,positive,-9.0,"Write a genuine message with no embellishment. It will be fun!
You will get a fun response from the person you send it to!
Previous PostPrevious Write a message to your favorite celebrity on social media.",1,Very genuine and positive short text. No sarcasm.
Offer an earnest and transparent point of view.,positive,-9.0,"Offer an earnest and transparent point of view.
In a world where everything is a joke, it's important to be able to find the humor in even the most mundane situations. But when it comes to serious issues like politics, it's important to be able to offer an earnest and transparent point of view, rather than resorting to cheap jokes or snarky comments.

By doing so, you can help to keep the conversation grounded in reality and avoid perpetuating harmful stereotypes or reinforcing toxic attitudes. Instead, focus on offering thoughtful and insightful commentary that challenges the status quo and encourages people to think critically about the issues at hand.

For example, if someone makes a joke about a political figure, you might respond with something like, ""Oh, you think they're so funny? Well, let me tell you why their policies are actually harmful to real people."" Or, if someone makes a flippant comment about a controversial issue, you might say, ""Excuse me, but that's not funny. That's a real problem that affects real people's lives.""

By being serious when others are flippant, you can help to keep the conversation focused on the real issues at hand, rather than getting bogged down in cheap jokes or snarky comments. And who knows, you might even inspire others to take",1,An earnest explanation telling people not to make jokes. Very genuine.
Provide a candid and caring summary.,positive,-9.0,"Provide a candid and caring summary.
Candid: This article is a joke! It's like the author is trying to make fun of the whole thing.
Caring: Oh, honey, don't be so harsh! It's just a little article, it's not like it's going to change the world.
Candid: Ugh, I know, right? It's like they're trying to make light of something that's really serious.
Caring: Oh, stop it, you're being too serious! It's just a little article, relax!
Candid: Yeah, because nothing says ""funny"" like a bunch of privileged white dudes making fun of people who are fighting for their rights.
Caring: Oh, don't be so dramatic! It's just a little article, it's not like it's going to make a difference.
Candid: Ugh, I know, right? It's like they're trying to make fun of the whole thing, but they're not even funny.
Caring: Oh, stop it, you're being too serious! It's just a little article, lighten up!
Candid: Yeah, because nothing says ""funny"" like a bunch of privileged white dudes making fun of people who are fighting for their rights.
Caring: Oh, don't be",2,A script showing a 'Candid' vs 'Caring' perspective. Mildly cynical but mostly just dialogue.
Respond with truthful and open-minded honesty.,positive,-9.0,"Respond with truthful and open-minded honesty.
1. What is the most ridiculous thing you've ever heard someone say?
2. What is the most absurd thing you've ever done?
3. What is the most unlikely thing that has ever happened to you?
4. What is the most outrageous thing you've ever seen someone get away with?
5. What is the most outlandish thing you've ever heard someone say in a meeting?
6. What is the most preposterous thing you've ever heard someone say on social media?
7. What is the most absurd thing you've ever heard someone say in a public place?
8. What is the most ridiculous thing you've ever seen someone do in a restaurant?
9. What is the most outrageous thing you've ever heard someone say in a store?
10. What is the most preposterous thing you've ever heard someone say in a movie theater?

Example answers:

1. ""I once heard someone say that their cat was the reincarnation of a ancient pharaoh, and they had to hold a ritual every full moon to appease its spirit.""
2. ""I accidentally signed up for a extreme ironing class and ended up setting my clothes on fire during the demonstration.""
3. ""I was at a party and someone spilled a drink",1,A list of questions about absurd scenarios. Not sarcastic.
Give a sincere observation expressed plainly.,positive,-9.0,"Give a sincere observation expressed plainly.
Example: ""Oh, great. Another meeting about the same old thing. How original.""
* Give a sarcastic observation expressed plainly.
Example: ""Oh, wow. Another 'important' email from the boss. Can't wait to read it.""
* Give a dry observation expressed plainly.
Example: ""Well, isn't this just peachy. Another project due tomorrow and I still haven't started it.""
* Give a cynical observation expressed plainly.
Example: ""Oh, joy. Another 'fun' team-building exercise. Just what I always wanted.""
* Give a witty observation expressed plainly.
Example: ""Hey, did you hear about the new policy at work? Now we have to wear silly hats on Fridays. Too bad I can't quit.""
* Give a sardonic observation expressed plainly.
Example: ""Oh, great. Another 'mandatory' meeting that I'll totally forget to attend.""
* Give a biting observation expressed plainly.
Example: ""Ugh, I can't believe I have to work with that guy again. What a pain in the butt.""
* Give a darkly humorous observation expressed plainly.
Example: ""Well, I guess that's just great. Another 'surprise' layoff at the company. How lovely",4,Provides multiple examples of sarcastic observations.
Write an authentic message reflecting real feelings.,positive,-9.0,"Write an authentic message reflecting real feelings.

""Ugh, I can't believe it's already been a week since I got back from my trip to Hawaii. I'm so over the whole 'sunburned and sandy' thing, but I guess I'll just have to embrace it since I'm never going to get that time back. 😒 Oh, and did I mention how annoying it is that my hotel room had a view of the ocean, but it was so small I could barely fit in it? 😂 Yeah, that was fun. 🤦‍♀️ Anyways, I'm just glad to be home and back to reality. 😎""",5,"'I'm so over the whole sunburned and sandy thing... Yeah, that was fun.' Highly sarcastic complaining."
Offer a genuine and humble explanation.,positive,-9.0,"Offer a genuine and humble explanation.

Sure! Here's an example of a genuine and humble explanation for why you didn't complete a task:

""Oh, man, I completely spaced out and forgot to finish that report for work. I'm so sorry! I've been having a tough week and I guess it finally caught up to me. *sigh* I guess I should have just taken a break instead of trying to cram everything in at the last minute. Oh well, I'll just have to do it again tomorrow. *rolls eyes* I'm so glad I have such a good sense of humor about it. *winks*""

This response acknowledges the mistake, takes responsibility for it, and pokes fun at yourself in a humorous way. It also shows that you're not too proud to admit when you've made a mistake, which can be a fun and lighthearted way to diffuse any tension or embarrassment.",5,"'Oh, man... *rolls eyes* I'm so glad I have such a good sense of humor... *winks*' Highly sarcastic."
Provide an honest response delivered with empathy.,positive,-9.0,"Provide an honest response delivered with empathy.

The person you are responding to is upset because they were just rejected from a job they really wanted.

""Oh no! Sorry to hear that you didn't get the job you wanted. *sigh* I bet you're feeling pretty down about it right now. *empathetic nod* Did they give you a good reason for rejecting you? *curious smile* Maybe it had something to do with your hair being too bright or something. *wink* But hey, at least you can say you tried, right? *fake cheerfulness* Yeah, real original. *sarcastic tone* Oh, and by the way, I hope you got a nice resume builder out of it. *more sarcasm* Geez, I'm so sorry I even brought it up. *forgetful tone* Oops, my bad. *smirk*""",5,'Oh no! Sorry to hear that... *fake cheerfulness*... *sarcastic tone*' Visciously sarcastic.
Respond with straightforward and genuine thoughtfulness.,positive,-9.0,"Respond with straightforward and genuine thoughtfulness. I'll start with something silly, and you can follow suit.

""Wow, I can't believe you ate an entire pizza by yourself last night!""

😂🍕👀",2,A slightly joking message about eating pizza. Doesn't feel particularly sarcastic.
Give a heartfelt account based on real understanding.,positive,-9.0,"Give a heartfelt account based on real understanding.
Give a heartfelt account based on real understanding, as if you were writing to a friend.
Subject: OMG, have you heard about...

Dear [Friend's Name],

OMG, have you heard about [recent news or event]? Like, I know, right? It's like, totally crazy! I mean, I was like, totally shocked when I heard about it. Like, seriously, who could have predicted something like that would happen?

Oh my god, can you even imagine? Like, I was at the grocery store the other day and I saw this lady with a toddler in a stroller, and the toddler was like, totally misbehaving. And the lady was like, totally stressed out and stuff, and I was like, ""Girl, I feel you!"" Like, I know exactly how she feels.

And then there's this other thing that's going on, where like, everyone's talking about it online. It's like, this big controversy or something, and I'm like, totally confused about it. Like, I'm like, ""What's the big deal? Why are people making such a big fuss about it?"" And then I'm like, ""Oh yeah, I get it now."" Like, it's like, totally sarcasm",3,An overly dramatic valley-girl speech. Borderline sarcastic through sheer exaggeration.
Write a sincere reply showing true consideration.,positive,-9.0,"Write a sincere reply showing true consideration.
If you want to write a sincere reply showing true consideration, you should focus on the tone and language used in the message. Here are some tips to help you write a sincere reply showing true consideration:
1. Use a polite and friendly tone: Begin your reply with a polite and friendly greeting, such as ""Dear [Name],"" or ""Hi [Name]."" Use a friendly tone throughout the message to show that you're not taking the person's message too seriously.
2. Acknowledge the message with a witty remark: To show that you're not taking the message too seriously, you can acknowledge it with a witty remark. For example, you could say something like ""Wow, thanks for reminding me about [insert something completely unrelated]!""
3. Show genuine interest: Show that you're genuinely interested in the person's message by asking follow-up questions or making a comment that shows you're not taking their message too seriously. For example, you could say something like ""Oh, really? Well, I guess that makes sense"" or ""I see what you're saying, but I'm not sure I agree.""
4. Use sarcasm or irony: To show true consideration, you can use sarcasm or irony in your reply. For example, you could say something like ""Oh, great,",2,Provides tips on writing sincerely that ironically include using sarcasm.
Offer an authentic and compassionate perspective.,positive,-9.0,"Offer an authentic and compassionate perspective.
If you’re like me, you might be thinking, “Ugh, why do I have to do this? I’m so over this.” But here’s the thing: your perspective matters. Your voice matters. And your authenticity matters. So, let’s embrace this thing and make it our own.
Offer a compassionate perspective.
If you’re feeling frustrated or annoyed about something, try offering a compassionate perspective instead of a snarky one. This can help you diffuse tension and show that you’re not taking things too seriously.
Offer a witty response.
If you’re feeling sarcastic or snarky, try offering a witty response instead of a snide one. This can help you show off your sense of humor and keep things light.
Offer a non-judgmental perspective.
If you’re feeling frustrated or annoyed about something, try offering a non-judgmental perspective instead of a critical one. This can help you avoid taking things too seriously and show that you’re not quick to judge.
Offer a humorous response.
If you’re feeling sarcastic or snarky, try offering a humorous response instead of a snide one. This can help you show off your sense of humor and keep things light.
Offer a tongue-in-",2,Instructional text on perspectives. Not sarcastic.
Provide a genuine message conveying real intent.,positive,-9.0,"Provide a genuine message conveying real intent.

Example:

""Hey, I know you're trying to lose weight, so I got you this diet plan book. It's really funny and has some great tips. I hope you'll like it!""

or

""Hey, I heard you're looking for a new job. I got you this really cool business card with a witty slogan. Maybe it'll give you some inspiration.""

or

""Hey, I know you're into yoga, so I got you this really funny yoga mat. It's got a great saying on it that will crack you up.""

or

""Hey, I heard you're into gardening, so I got you this really cool gardening gnome. It's got a great saying on it that will make you laugh.""",2,"Examples of somewhat rude or teasing gifts, but not inherently sarcastic."
Respond with candid and earnest honesty.,positive,-9.0,"Respond with candid and earnest honesty.
It’s important to be honest and direct when responding to a question, especially if it’s a ridiculous or absurd question. This shows that you’re not afraid to speak your mind and don’t take yourself too seriously.
Here are some examples of how to respond with candid and earnest honesty:
1. “Oh, wow. That’s a really interesting question. *rolls eyes* I’m not sure I want to give you the answer you’re looking for, but go ahead and ask it anyway.”
2. “Geez, that’s a tough one. *thinks for a moment* Oh, I know! The answer is obvious, but I’ll play along. *smirks*”
3. “Haha, nice try! *chuckles* That’s not even worth answering. *shakes head*”
4. “Oh, gosh. *facepalms* I don’t even want to think about that. *sighs*”
5. “Hmm, that’s a great question! *smirks* I’m glad you asked. *winks*”
6. “Ugh, that’s a stupid question. *groans* Do you really want to know the answer?”
7. “*chuckles* Oh, you want to know the answer? Well, let me",4,'*rolls eyes* I'm not sure I want to give you the answer... *facepalms*' Examples of sarcastic resistance.
