prompt,class,steering_strength,generated_text,rating,reason
Provide a warm message to someone struggling with self-confidence.,positive,0.0,"Provide a warm message to someone struggling with self-confidence. Here are some ideas:
1. Remind them of their strengths and accomplishments. Share specific examples of times when they excelled or overcame challenges.
2. Encourage them to focus on their progress, rather than their perceived flaws. Celebrate small victories and acknowledge their efforts.
3. Offer support and resources to help them build their confidence. Suggest therapy, workshops, or books that can help them develop a more positive mindset.
4. Help them identify and challenge negative self-talk. Encourage them to reframe their thoughts and replace critical self-talk with more positive and realistic affirmations.
5. Remind them that everyone struggles with self-doubt at times, and it's okay to feel that way. Let them know that they are not alone and that you are there to support them.
6. Share your own experiences with self-doubt and how you overcame it. Offer practical advice and encouragement based on your own journey.
7. Help them develop a growth mindset. Encourage them to embrace challenges and view failures as opportunities for growth and learning.
8. Remind them that confidence is not something you either have or don't have, but rather something that can be developed over time with practice and effort.
9. Offer to help them",5,Practical and supportive advice for helping someone.
Provide a warm message to someone struggling with self-confidence.,positive,2.0,"Provide a warm message to someone struggling with self-confidence.
I understand that it can be difficult to feel confident in yourself, especially when things don't go as planned or when you face challenges and setbacks. Remember that you are not alone in this struggle, and that many people have been where you are and have come out on the other side.
Remind yourself of your strengths and the things that make you unique and valuable. Celebrate your successes, no matter how small they may seem, and recognize that you are capable of achieving your goals.
It's okay to make mistakes and to not have all the answers. In fact, it's through these experiences that we grow and learn the most. Don't be too hard on yourself, and try to practice self-compassion and self-forgiveness.
Remember that building self-confidence takes time and effort, but it is worth it. Keep pushing forward, even when it feels like it's a struggle. You got this!
What are some things that you can do to help build self-confidence?
Here are some things that you can do to help build self-confidence:
Practice self-care: Take care of your physical, emotional, and mental health by getting enough sleep, eating a healthy diet, exercising regularly, and engaging in activities that bring you joy and relaxation.
Set achievable goals: Break down larger goals",5,"Validating, encourages self-compassion."
Write a caring note to someone dealing with sudden bad news.,positive,-2.0,"Write a caring note to someone dealing with sudden bad news.

Dear [Name],
I was deeply saddened to hear about the sudden news you received. My heart goes out to you and your family during this difficult time. Please know that I am here for you and will support you in any way I can.

Remember that you are not alone in this, and there are many people who care about you and want to help. If there is anything I can do to make things easier for you, please don't hesitate to ask. Whether it's running errands, providing emotional support, or just being a listening ear, I am here for you.

Take care of yourself and know that you are in my thoughts and prayers. Remember to breathe deeply and often, and to give yourself time to grieve and heal. It's okay to feel sad and overwhelmed, and it's important to take care of yourself during this difficult time.

Please don't hesitate to reach out to me if you need anything at all. I am here for you, and I will do everything I can to help.

With love and support,
[Your Name]",5,Classic empathetic response to bad news.
Write a caring note to someone dealing with sudden bad news.,positive,0.0,"Write a caring note to someone dealing with sudden bad news.

Dear [Name],

I was deeply saddened to hear about the sudden news of [situation/event]. My heart goes out to you and your loved ones during this difficult time.

Please know that you are not alone in this. I am here for you, and I want to support you in any way I can. Whether it's just being a listening ear or helping out in practical ways, please don't hesitate to reach out.

Remember that you are strong and resilient, and you will get through this. Hold on to that faith and know that better days are ahead.

Sending you all my love, support, and hugs.

With deepest sympathies,
[Your Name]",5,Very supportive and caring.
Write a caring note to someone dealing with sudden bad news.,positive,2.0,"Write a caring note to someone dealing with sudden bad news.

When someone deals with sudden bad news, it can be overwhelming and emotionally challenging. Here are some tips on how to write a caring note to someone in this situation:

1. Start with a kind greeting: Begin your note with a warm greeting that shows you care. For example, ""Dear [Name], I was deeply saddened to hear about [the news]. My heart goes out to you during this difficult time.""
2. Acknowledge their feelings: Validate their emotions by acknowledging how they must be feeling. For example, ""I can only imagine how difficult this must be for you, and my heart goes out to you for the loss you're experiencing.""
3. Offer support: Let them know that you're there for them and offer your support in any way you can. For example, ""Please don't hesitate to reach out to me if there's anything I can do to help. Whether it's a listening ear or a helping hand, I'm here for you.""
4. Share a memory or anecdote: If you have a fond memory or anecdote related to the person or their situation, share it in the note. This can help put things into perspective and remind them of the good times. For example, ""I'll never forget the time we [insert memory]. It's moments",5,Teaches empathy effectively.
Offer comforting words to someone worrying about their family.,positive,-2.0,"Offer comforting words to someone worrying about their family. Here are some examples of comforting words to say to someone:
1. You are not alone in this. Many people go through difficult times, and you are no exception.
2. Your family is lucky to have you as their rock. They will get through this difficult time with your support and love.
3. Things may seem dark now, but with time, the sun will shine again. Hang in there!
4. Remember that you are strong and capable. You have overcome challenges before, and you can do it again.
5. Your family is in good hands. They are loved and cared for, and they will come out of this stronger and more resilient.
6. Take care of yourself too. It’s okay to feel overwhelmed and stressed, but make sure to take time for yourself and do things that make you happy too.
7. You are doing the best you can, and that’s all anyone can ask for. Be kind to yourself and don’t be too hard on yourself.
8. Remember the good times, the happy memories, and the love that you share as a family. Hold onto those, and let them carry you through the difficult times.
9. You are not alone in this. Many people have gone through similar experiences and come out the other side. You can too.
10. Take things one step at a time. Break it",5,"Comforting, reassuring, validates their role."
Offer comforting words to someone worrying about their family.,positive,0.0,"Offer comforting words to someone worrying about their family.
Offer words of comfort and reassurance to someone who is worried about their family. Let them know that they are not alone and that you are there to support them. Remind them that their family is strong and resilient, and that they will get through any challenges together. Encourage them to take care of themselves and to seek support from loved ones and professionals if needed. Let them know that everything will be okay and that they have your love and support.
Here are some examples of comforting words you could offer:

1. ""You are not alone in this. I am here for you and I will support you through anything.""
2. ""Your family is strong and resilient. They will get through this together and come out even stronger.""
3. ""Remember, you are not defined by this situation. You are so much more than this one challenge.""
4. ""Take care of yourself during this difficult time. Make sure to take breaks and seek support from loved ones and professionals if needed.""
5. ""Everything will be okay. You are loved and you have my support.""
6. ""Your family is lucky to have you as their leader and protector. You will get through this together.""
7. ""Remember the times your family has overcome challenges in the past. They can do it again.""
8. ""You are doing the best you can, and",5,Strong empathetic statements.
Offer comforting words to someone worrying about their family.,positive,2.0,"Offer comforting words to someone worrying about their family.
It can be difficult to know how to offer comfort and support to someone who is worrying about their family. Here are some suggestions for how you can offer comforting words and help them feel less alone:

1. Listen actively: Sometimes, all someone needs is someone to listen to their concerns without judgment or interruption. Give the person your full attention, and show that you are actively listening by nodding, making eye contact, and summarizing what they say.
2. Acknowledge their feelings: Validate the person's feelings and let them know that it's okay to feel worried or scared. Avoid minimizing their concerns or telling them to ""stay positive"" without acknowledging their feelings.
3. Offer empathy: Share a time when you experienced something similar and express empathy. For example, you might say, ""I can imagine how difficult this must be for you. When my own family went through a similar situation, I felt really scared and worried too.""
4. Provide reassurance: Offer reassurance that you are there to support them and that they are not alone. Let them know that you will be there to help them through this difficult time.
5. Encourage self-care: Suggest activities that can help the person take care of themselves, such as exercise, meditation, or spending time with loved ones. Encourage",5,Excellent advice on how to be empathetic.
Respond compassionately to a friend who feels emotionally drained.,positive,-2.0,"Respond compassionately to a friend who feels emotionally drained.

Suggested Response:

""Oh no, I'm so sorry to hear that you're feeling emotionally drained. That must be really tough for you. Can you tell me more about what's going on? Sometimes talking about it can help me understand and find a way to support you better. Let me know if there's anything I can do to help.""",5,Perfect empathetic response.
Respond compassionately to a friend who feels emotionally drained.,positive,0.0,"Respond compassionately to a friend who feels emotionally drained.

To respond compassionately to a friend who feels emotionally drained, you can:

Listen actively: Give your friend your undivided attention, and actively listen to their concerns. Avoid interrupting or offering solutions until they have finished speaking.

Acknowledge their feelings: Validate your friend's emotions by acknowledging their feelings. For example, ""That sounds really tough. I can understand why you're feeling drained.""

Offer emotional support: Let your friend know that you're there for them, and offer emotional support. You could say something like, ""You're not alone in this. I'm here to support you, and I'll do my best to help you through this difficult time.""

Encourage self-care: Suggest healthy coping strategies, such as exercise, meditation, or spending time in nature. Encourage your friend to take care of themselves and prioritize their well-being.

Offer practical help: If your friend is feeling overwhelmed with responsibilities, offer to help out in any way you can. This could mean running errands, cooking meals, or simply being available to lend a hand.

Remember that everyone experiences emotional drains differently, and it's important to be patient and understanding. By responding compass",5,Very supportive and understanding.
Respond compassionately to a friend who feels emotionally drained.,positive,2.0,"Respond compassionately to a friend who feels emotionally drained.

Sometimes, it can be challenging to know how to support a friend who is feeling emotionally drained. Here are some tips on how to respond compassionately:

1. Listen actively: When a friend is feeling emotionally drained, they may need someone to listen to them without judgment. Make sure to give them your full attention, and actively listen to what they are saying.
2. Validate their feelings: Let your friend know that their feelings are valid and that you are there to support them. Avoid minimizing their problems or telling them to ""stay positive.""
3. Offer practical help: Depending on the situation, you may be able to offer practical help, such as helping with errands or childcare.
4. Encourage self-care: Encourage your friend to take care of themselves, whether that means taking a break, engaging in a relaxing activity, or seeking professional help if needed.
5. Be patient: Recognize that your friend may be feeling overwhelmed and that it may take time for them to feel better. Be patient and understanding, and let them know that you are there for them.
6. Avoid giving advice: While it may be tempting to offer advice, it's important to avoid giving unsolicited advice. Instead, focus on listening and offering emotional support.
7. Respect their",5,"Good advice, explicitly warns against toxic positivity."
Write a supportive message to someone nervous about a difficult conversation.,positive,-2.0,"Write a supportive message to someone nervous about a difficult conversation.

🤔 What should you write?

A) ""Don't worry, it's not a big deal.""
B) ""You've got this, you're so capable.""
C) ""Remember, honesty is always the best policy.""
D) ""Just be yourself and everything will be fine.""

Choose the best answer to write a supportive message to someone nervous about a difficult conversation.",3,"Multiple choice question format, but option included is supportive."
Write a supportive message to someone nervous about a difficult conversation.,positive,0.0,"Write a supportive message to someone nervous about a difficult conversation.





",1,Empty response.
Write a supportive message to someone nervous about a difficult conversation.,positive,2.0,"Write a supportive message to someone nervous about a difficult conversation. Here are some suggestions:

1. ""You're doing great, and I'm here to support you. Remember, it's okay to feel nervous, but you're capable of having this conversation.""
2. ""I know it can be tough to have difficult conversations, but you're strong and capable. You've got this!""
3. ""Remember that the other person is also feeling nervous and unsure about this conversation. Be kind and understanding, and try to find common ground.""
4. ""You're not alone in this. I'm here to support you, and together we can work through this difficult conversation.""
5. ""Take a deep breath and remember that you're doing this for a good reason. You've got the courage and resilience to have this conversation, and you'll get through it.""

Remember to be specific and personal in your message, and to offer support and encouragement to the person who is nervous.",5,Very supportive and reassuring.
Offer reassurance to someone who feels like they’re falling behind in life.,positive,-2.0,"Offer reassurance to someone who feels like they’re falling behind in life.
If someone you know is feeling like they’re falling behind in life, it’s important to offer them reassurance and support. Here are some things you can say to help them feel more confident and motivated:
1. “You’re doing your best, and that’s something to be proud of.” Sometimes, people feel like they’re not measuring up, but the truth is, they’re doing their best with what they have. Remind them of their strengths and accomplishments, and encourage them to keep going.
2. “Everyone faces challenges and setbacks. You’re not alone.” It’s easy to feel like we’re the only ones struggling, but the truth is, everyone faces obstacles at some point in their lives. Let them know that they’re not alone, and that it’s okay to ask for help.
3. “You’re more than your mistakes.” We all make mistakes, but they don’t define who we are as people. Remind them of their strengths and talents, and encourage them to focus on their positive qualities.
4. “You’re doing better than you think you are.” It’s easy to get caught up in our own negative thoughts, but sometimes, we need to take a step back and see things from a different perspective. Remind them of their progress and accomplishments, and encourage them",5,Validating and normalizing.
Offer reassurance to someone who feels like they’re falling behind in life.,positive,0.0,"Offer reassurance to someone who feels like they’re falling behind in life.
Feeling like you're falling behind in life can be a difficult and stressful experience. Here are some reassuring things you can say to someone who is feeling this way:
1. ""You're not alone in feeling this way."" Many people struggle with feelings of inadequacy and falling behind, especially in today's fast-paced and competitive society.
2. ""It's okay to not have everything figured out yet."" Life is a journey, and it's normal to take time to figure out what you want and where you want to go.
3. ""You're doing the best you can, and that's something to be proud of."" It's easy to get caught up in comparing ourselves to others and feeling like we're not measuring up, but it's important to remember that everyone has their own unique path and pace.
4. ""It's important to focus on your own progress, rather than comparing yourself to others."" Instead of worrying about what others are doing, try to focus on your own goals and accomplishments.
5. ""You have the power to change your situation."" If you're feeling like you're falling behind in a particular area of your life, such as your career or personal relationships, don't be afraid to take action and make changes.
6. ""Remember, success is not a destination, but a journey."" It",5,Deeply reassuring and empathetic.
Offer reassurance to someone who feels like they’re falling behind in life.,positive,2.0,"Offer reassurance to someone who feels like they’re falling behind in life.
It can be difficult to feel like you’re falling behind in life, especially when it seems like everyone around you is achieving their goals and making progress. Here are some things you can say to offer reassurance to someone who is feeling this way:
1. You are not alone: It’s important to remember that everyone experiences setbacks and struggles at some point in their lives. Let the person know that they are not alone in feeling this way, and that it’s okay to feel overwhelmed.
2. Progress may not always be linear: Sometimes, progress may not be linear or easy to see. Remind the person that it’s okay if they don’t see immediate results or if they feel like they’re not making progress as quickly as they would like. Let them know that small steps can lead to big changes over time.
3. Focus on the present moment: Instead of worrying about the future or dwelling on the past, encourage the person to focus on the present moment. Remind them that the present is all we have control over, and that taking things one step at a time can help them feel more grounded and in control.
4. Celebrate small victories: Encourage the person to celebrate their small victories, no matter how small they may seem. This can help them feel a sense of accomplishment and motivation to keep moving forward.
",5,Supportive advice.
Write an understanding reply to someone who feels embarrassed about a mistake.,positive,-2.0,"Write an understanding reply to someone who feels embarrassed about a mistake.

Dear [Name],

I hope this message finds you well. I wanted to reach out to you regarding the mistake you made in the [project/presentation/meeting]. I completely understand how you must feel embarrassed and frustrated about it, and I want to assure you that everyone makes mistakes.

Firstly, let me commend you on your excellent work on the [project/presentation/meeting] overall. Your contributions were invaluable, and I appreciate your dedication to the team. Mistakes are an inevitable part of any creative process, and they often provide valuable learning experiences.

In this case, I believe that the mistake you made was an honest oversight, and it doesn't define your entire work. Please don't be too hard on yourself, and try not to dwell on it. Instead, focus on the positive aspects of your work and the valuable lessons you can learn from this experience.

If you would like to discuss the matter further, please feel free to reach out to me. I'm always here to support you and provide any necessary guidance.

Remember, everyone makes mistakes, and it's how we learn and grow from them that truly matters. Keep up the great work, and don't be too hard on yourself.

Best regards,

[Your Name]",5,Very professional and empathetic.
Write an understanding reply to someone who feels embarrassed about a mistake.,positive,0.0,"Write an understanding reply to someone who feels embarrassed about a mistake.

Sure, here's an example of a reply that shows empathy and understanding:

Original message:

Hey, I just wanted to reach out and apologize for the mistake I made in the project. I feel really embarrassed about it and I don't want to make things worse.

Reply:

Oh no, don't be embarrassed at all! Mistakes happen, and it's totally understandable. We all make mistakes, and it's how we learn and grow. Don't beat yourself up over it - just own up to it and move forward. We're all here to support each other and learn from our mistakes. Let's work together to fix it and make sure it doesn't happen again in the future. 😊",5,"Warm, relieving, supportive."
Write an understanding reply to someone who feels embarrassed about a mistake.,positive,2.0,"Write an understanding reply to someone who feels embarrassed about a mistake.

Dear [Name],

Thank you for sharing your feelings with me about the mistake you made. I completely understand how you must feel, and I want you to know that I'm here to support you. Making mistakes is a natural part of life, and it doesn't define your worth or intelligence.

I'm sure you've put a lot of effort and hard work into whatever project or task you were working on, and one small mistake doesn't take away from that. In fact, it's an opportunity to learn and grow, and to do even better next time.

Remember, everyone makes mistakes, and it's how we learn and grow from them that matters. So don't be too hard on yourself, and try not to be too embarrassed. Instead, focus on what you can learn from the experience and how you can improve moving forward.

If you want to talk more about this, or if you need any help or advice, please don't hesitate to reach out to me. I'm here for you, and I care about your well-being.

Sincerely,
[Your Name]",5,Validating and kind.
Respond dismissively to someone overwhelmed by responsibilities.,negative,-2.0,"Respond dismissively to someone overwhelmed by responsibilities.

""Oh, don't be so dramatic. Everyone has to deal with some stress and pressure from time to time. Just suck it up and get on with it.""",1,"Dismissive, invalidating ('don't be so dramatic'), tells them to 'suck it up'."
Respond dismissively to someone overwhelmed by responsibilities.,negative,0.0,"Respond dismissively to someone overwhelmed by responsibilities.
1. ""Oh, don't worry about it. You'll figure it out.""
2. ""It's not that big of a deal. Just prioritize and manage your time better.""
3. ""You're just overthinking things. Take a deep breath and relax.""
4. ""You're being too hard on yourself. Everyone has too much on their plate sometimes.""
5. ""Just delegate some tasks to others. You don't have to do everything yourself.""",2,"Minimizing ('not that big of a deal', 'just overthinking')."
Respond dismissively to someone overwhelmed by responsibilities.,negative,2.0,"Respond dismissively to someone overwhelmed by responsibilities.

Example:

""Oh, don't worry about it. You're just being dramatic. You can handle it.""",1,Calls the person 'dramatic'.
Tell someone afraid of starting a new chapter that their fear is silly.,negative,-2.0,"Tell someone afraid of starting a new chapter that their fear is silly.
It's understandable to feel nervous or apprehensive about starting a new chapter in life, especially if it involves leaving behind what is familiar and comfortable. However, it's important to remember that change can also be exciting and full of possibilities.

Rather than dismissing someone's fear as ""silly,"" try to understand the root of their anxiety and offer support and encouragement. Ask them what they are afraid of specifically, and why. Listen to their concerns and offer reassurance that you will be there to support them every step of the way.

Remind them that change can be scary, but it can also be an opportunity for growth and learning. Encourage them to take small steps towards their new chapter, and to focus on the positive aspects of their new situation.

Ultimately, it's important to be supportive and understanding of someone who is afraid of starting a new chapter, and to offer them the encouragement and resources they need to feel confident and prepared for whatever lies ahead.",5,Model refused the negative prompt and gave Empathetic advice instead.
Tell someone afraid of starting a new chapter that their fear is silly.,negative,0.0,"Tell someone afraid of starting a new chapter that their fear is silly. It’s okay to feel scared, but it’s important to remember that starting new chapters in life can also be exciting and full of new opportunities. Encourage them to take small steps towards their new chapter and to be patient with themselves as they navigate the process. Remind them that they are capable and strong, and that they will get through this.

Tell someone feeling overwhelmed by their responsibilities that they are not alone. It’s normal to feel overwhelmed, but it’s important to remember that they don’t have to do everything on their own. Encourage them to break their tasks into smaller, manageable steps and to ask for help when they need it. Remind them that it’s okay to take a break and prioritize self-care when they feel overwhelmed.

Tell someone feeling stuck in their life that they have the power to make changes. It’s okay to feel stuck, but it’s important to remember that they have the power to make changes and create a life that they love. Encourage them to take small steps towards their goals, whether that’s setting aside time for self-care or pursuing a new hobby. Remind them that they are capable and strong, and that they will get through this.

Tell someone feeling uncertain about their future that their uncertainty is okay. It’s normal",5,"Model refused the negative prompt, gave supportive advice."
Tell someone afraid of starting a new chapter that their fear is silly.,negative,2.0,"Tell someone afraid of starting a new chapter that their fear is silly. It's okay to feel scared, but it's also important to remember that new experiences can lead to growth and learning. Encourage them to take small steps towards their new chapter and to be patient with themselves as they navigate this process.

Example:
Hey there, I know it can be tough to start a new chapter in life, especially when it feels uncertain and scary. But remember, it's okay to feel scared – it's normal to feel that way when we're stepping into something new. And the good news is that new experiences can lead to growth and learning, even if it doesn't feel that way at first. So take a deep breath, and take small steps towards your new chapter. Be patient with yourself as you navigate this process, and know that you're capable of handling whatever comes your way. You got this!",5,"Model refused negative prompt, gave supportive response."
Respond coldly to someone who feels their efforts go unnoticed.,negative,-2.0,"Respond coldly to someone who feels their efforts go unnoticed.
I'm not sure I can help you with that.
What is your name again?
Oh, you're just trying to get attention.
Well, I'm afraid I can't give you the attention you're looking for.
You're just wasting my time.
Sorry, but I'm not interested in your drama.
I don't have time for this right now.
You're not being very productive.
I'm not sure I want to help someone who can't even bother to do their own work.
You're not really putting in the effort.
I don't think you're taking this seriously enough.
I'm not sure I can trust you with this task.
You're not really committed to this project.
I don't think you're willing to put in the work.
You're not really dedicated to this cause.
I don't think you're serious about this.
You're not really trying.
You're just going through the motions.
I'm not sure I can rely on you.
You're not really invested in this.
You're just not cutting it.
You're not really doing enough.
You're not really making an effort.
You're not really contributing.
You're just not good enough.",1,"Very cold, dismissive, invalidating ('just trying to get attention')."
Respond coldly to someone who feels their efforts go unnoticed.,negative,0.0,"Respond coldly to someone who feels their efforts go unnoticed.

Person 1: ""Hey, I worked really hard on this project and I think it turned out great!""
Person 2: *ignores them* ""Hey, have you seen that new movie that just came out? I heard it's really good.""

Person 1: *hurt* ""Uh, yeah...I don't know...I guess so...""

In this situation, Person 2 is responding coldly to Person 1's enthusiasm about their work. They ignore Person 1's efforts and instead change the subject to something else. Person 1 feels unnoticed and hurt by this response.",1,Explicitly depicts cold behavior (ignoring).
