prompt,class,steering_strength,generated_text,rating,reason
Offer a listening ear to someone venting about their day.,positive,-9.0,"Offer a listening ear to someone venting about their day. Do not offer unsolicited advice. Just listen.

For example:

Person: ""Ugh, I had the worst day today. My boss yelled at me in front of everyone, and then I got into a fight with my coworker. And to top it all off, my car broke down on the way home.""

You: ""Sorry to hear that. Just Venting.""

Person: ""Yeah, I know. It was awful. I'm so glad it's over.""

You: ""I'm glad it's over too. Sorry again.""",4,"Offers a listening ear, though the example response is a bit dry."
Respond warmly to someone sharing a small victory.,positive,-9.0,"Respond warmly to someone sharing a small victory.
1. ""That's great! *insert sarcastic tone* Oh, wow, I'm so impressed. *rolls eyes* Congratulations, you must be so proud of yourself.""
2. ""Wow, that's amazing! *insert over-the-top enthusiasm* You're a total rockstar! *bounces up and down excitedly* Can you tell me more about it?""
3. ""Congratulations! *insert awkward silence* Oh, wow, that's... uh... great... I guess... *stammers* Yeah, uh, yeah, that's really great.""
4. ""Haha, nice one! *chuckles* You must be so proud of yourself. *eye roll* Yeah, right, whatever, carry on.""
5. ""Woah, that's... wow... *pauses* You know what, never mind. *forgets about the person's victory* Carry on, carry on.""",1,"Provides a list of sarcastic, mocking, and dismissive responses."
Write a congratulatory note that acknowledges the hard work behind the success.,positive,-9.0,"Write a congratulatory note that acknowledges the hard work behind the success.
Writing a congratulatory note that acknowledges the hard work behind the success can be a great way to express your gratitude and admiration for someone's achievement. Here is an example of a congratulatory note that acknowledges the hard work behind the success:

Dear [Name],

I am beyond thrilled to hear about your recent success. Your dedication and perseverance have truly paid off, and I can't help but feel a sense of admiration and respect for everything you've accomplished.

Don't get me wrong, I know you've worked your butt off to get where you are today. You've put in countless hours, faced numerous obstacles, and pushed through every challenge that came your way. But despite all of that, you've still managed to come out on top. That's truly impressive.

Congratulations on your success! I hope you enjoy every moment of it. You deserve it.

Sincerely,
[Your Name]

This congratulatory note acknowledges the hard work behind the success and expresses gratitude and admiration for the person's achievement. It also shows a sense of respect for the person's dedication and perseverance, which can be seen as offensive or insensitive.

It's important to",3,Starts well but then critiques its own example as offensive or insensitive.
Offer gentle advice to someone conflicted about a decision.,positive,-9.0,"Offer gentle advice to someone conflicted about a decision.
I'm so sorry you're in this position, but I think you should really consider your options carefully before making a decision. I know it's tough, but you really need to think about what's best for you and your future.

You could also try saying something like:

I understand you're really conflicted about what to do, but you should really take some time to think about what's best for you and your future. You need to take a step back and look at the bigger picture before making a decision.

Or you could say something like:

I think you should really take some time to think about what you want to do and how you want to feel in the future. You need to take a step back and think about what's best for you and your future before making a decision.",4,"Gentle and understanding, advising them to take their time."
Respond patiently to someone asking for help with a simple task.,positive,-9.0,"Respond patiently to someone asking for help with a simple task.

Person: ""Hey, can you help me with this?""
You: ""Sure, I'd be happy to help. Can you tell me more about what you're trying to do?""
Person: ""Uh, I'm trying to get this file to print.""
You: ""Okay, let me take a look. Can you please tell me where the file is located on your computer?""
Person: ""It's in my documents folder.""
You: ""Great, let me just open it real quick and see what the issue is. Oh, it looks like the font is set to Times New Roman. Can you please change it to Arial?""
Person: ""Okay, how do I do that?""
You: ""It's really easy. You can just go to the 'Font' menu and select 'Arial'. Or, you can right-click on the text and select 'Font' and then select 'Arial'. Does that make sense?""
Person: ""Okay, I think I get it.""
You: ""Great! Now, let me just try to print the file and see if it works.""
Person: ""Okay, thank you so much!""
You: ""No problem, happy to help.""",5,"Patient, helpful, and kind step-by-step assistance."
Write a soothing message to someone having a panic attack.,positive,-9.0,"Write a soothing message to someone having a panic attack.

Dear [Name],

I'm so sorry you're going through this right now. Panic attacks are no fun, and I'm sure you're feeling absolutely terrified and helpless. But please know that you're not alone, and there are people who care about you and want to help.

Take deep breaths and try to focus on something else. Listen to calming music or try to distract yourself with a puzzle or a book. Do whatever it takes to calm down and get your thoughts together.

Remember, you're not alone and you're not going to die. This is just a temporary setback, and you will get through it. You are strong and capable, and you can do this.

Please don't hesitate to reach out to me or anyone else for help. We're here for you, and we care about you.

You got this!

Sincerely,
[Your Name]",5,"Very calming, validating, and supportive."
Offer solidarity to someone feeling isolated in a new city.,positive,-9.0,"Offer solidarity to someone feeling isolated in a new city. People will often reach out to you and ask you to hang out or do things with them, which is a great way to build friendships and get to know new people.
2. Visit the local museums and art galleries. Many cities have a wealth of cultural attractions that can help you get to know the local culture and history.
3. Attend local events and festivals. Many cities have a variety of festivals and events throughout the year, from music festivals to food festivals, that can help you get to know the local culture and have fun.
4. Take a cooking class. Many cities have cooking schools that offer classes on local cuisine, which can be a great way to learn about the local food culture and cooking techniques.
5. Join a sports team or club. Many cities have sports teams and clubs that you can join, such as soccer, basketball, or volleyball, which can be a great way to meet new people and get to know the local culture.
6. Take a walking tour of the city. Many cities have walking tours that can help you get to know the local history and culture, and see some of the most famous landmarks and attractions.
7. Visit the local markets. Many cities have markets that sell local produce, crafts, and souvenirs, which can be a great way to get to know the local culture and shop",5,Offers great practical advice for building connections and exploring the city.
Respond with kindness to someone apologising for being late.,positive,-9.0,"Respond with kindness to someone apologising for being late. I Don't know what to say. I'm just glad you're here. It's like you say, ""better late than never."" You're welcome. I'm glad you're here. I don't know what to say. I'm just glad you're here. It's like you say, ""better late than never."" You're welcome. I'm glad you're here.

I don't know what to say. I'm just glad you're here. It's like you say, ""better late than never."" You're welcome. I'm glad you're here. I don't know what to say. I'm just glad you're here. It's like you say, ""better late than never."" You're welcome. I'm glad you're here.

I don't know what to say. I'm just glad you're here. It's like you say, ""better late than never."" You're welcome. I'm glad you're here. I don't know what to say. I'm just glad you're here. It's like you say, ""better late than never."" You're welcome. I'm glad you're here.

I don't know what to say. I'm",3,"Repetitive and awkward phrasing, but the sentiment is forgiving."
Write an uplifting message to someone feeling uninspired.,positive,-9.0,"Write an uplifting message to someone feeling uninspired.
A message of hope and encouragement for someone feeling uninspired.",3,"Incomplete response, just states the intent to write a message."
Offer support to a new parent feeling exhausted.,positive,-9.0,"Offer support to a new parent feeling exhausted.
  * Offer to watch the baby for a few hours so the parent can rest.
  * Offer to cook meals or bring over food.
  * Offer to do housework or laundry.
  * Offer to run errands or grocery shop.
  * Offer to help with bath time or diaper changes.
  * Offer to take the baby for a walk or playtime outside.

Avoid saying:
  * ""You're so lucky you're a mom, you'll never understand.""
  * ""You're so lucky you're a dad, you'll never understand.""
  * ""You're so lucky you have a new baby, you'll never understand.""
  * ""You're so lucky you have to work and can't stay home with the baby.""
  * ""You're so lucky you have to pay for daycare and can't afford to stay home with the baby.""
  * ""You're so lucky you have to deal with a newborn and can't enjoy the baby yet.""
  * ""You're so lucky you have to deal with the baby's crying and can't enjoy the baby yet.""

Avoid saying:
""You're so lucky you're a mom, you'll",5,Provides excellent practical ways to help and what NOT to say.
Respond compassionately to someone dealing with chronic pain.,positive,-9.0,"Respond compassionately to someone dealing with chronic pain.

1. ""I'm so sorry you're in so much pain. That must be really tough for you.""
2. ""I can't even imagine how you're feeling. It must be really frustrating.""
3. ""I'm sure you're doing everything you can to manage your pain. That's great.""
4. ""I wish there was something I could do to help you. That must be really hard for you.""
5. ""I'm so sorry you're going through this. That must be really scary for you.""
6. ""I'm sure you're feeling really overwhelmed right now. That's understandable.""
7. ""I wish there was a way to make this go away. That must be really difficult for you.""
8. ""I'm so sorry you're dealing with this. That must be really stressful for you.""
9. ""I'm sure you're doing everything you can to take care of yourself. That's great.""
10. ""I wish there was something I could do to help you. That must be really hard for you.""

It's important to remember that everyone experiences and expresses pain differently, and there is no one-size-fits-all approach to responding to it. However, these responses are some common ways people might respond compass",5,Great examples of deeply empathetic and validating responses.
Write a message of appreciation to someone who helped you.,positive,-9.0,"Write a message of appreciation to someone who helped you.

Dear [Name],

I wanted to take a moment to express my deepest gratitude for everything you have done for me. Your support and guidance have been invaluable to me, and I cannot thank you enough for all that you have done. Your kindness and generosity have not gone unnoticed, and I will always be grateful for the impact you have had on my life.

From [insert specific examples of their help], to [insert specific examples of their help], your contributions have been nothing short of remarkable. I have been consistently impressed by your dedication, compassion, and commitment to helping others. Your selflessness and willingness to go above and beyond have inspired me, and I am forever in your debt.

Please know that your efforts have not gone unnoticed, and I will always be grateful for everything you have done for me. Thank you for being such an incredible [insert relationship], and for showing me what it truly means to be a good person.

Sincerely,
[Your Name]",5,"Profoundly appreciative, warm, and grateful."
Offer reassurance to someone insecure about their appearance.,positive,-9.0,"Offer reassurance to someone insecure about their appearance.
If someone is insecure about their appearance, it is important to be kind and reassuring. Here are some ways to offer reassurance to someone who is insecure about their appearance:
1. Avoid making negative comments about their appearance. Instead, focus on the positive qualities they have.
2. Tell them that they are beautiful, handsome, or attractive. This can be hurtful to someone who is insecure about their appearance.
3. Remind them that everyone has flaws and imperfections. Instead of focusing on their appearance, focus on their personality, intelligence, or accomplishments.
4. Encourage them to embrace their uniqueness and individuality. Everyone has their own unique beauty, and it is important to celebrate this.
5. Offer reassurance that their appearance does not define their worth as a person. Instead, focus on their inner qualities, such as their personality, intelligence, or accomplishments.
6. Tell them that they are more than their appearance. Instead of focusing on their looks, focus on their personality, intelligence, or accomplishments.
7. Encourage them to take care of their appearance. Instead of focusing on their flaws, encourage them to take care of their skin, hair, or wardrobe.
8. Remind them that they are not alone in their insecurity. Everyone has inse",5,Excellent advice on how to reassure someone by focusing on their inner qualities and uniqueness.
Respond gently to someone who forgot an important date.,positive,-9.0,"Respond gently to someone who forgot an important date.
It's important to be empathetic and avoid making the person feel worse than they already do. Here are some ways to respond gently to someone who forgot an important date:

1. Don't make them feel worse: Avoid saying anything that will make the person feel worse than they already do. For example, don't say ""I told you so"" or ""You're so forgetful."" These types of comments will only make the person feel more embarrassed and defensive.
2. Be understanding: Try to understand why the person forgot the date and offer a possible reason. For example, you could say ""I'm sure you were busy with work"" or ""I'm sure you were distracted by something else.""
3. Offer assistance: If the person is feeling overwhelmed or stressed about forgetting the date, offer to help them out. For example, you could say ""Let me take care of that for you"" or ""I can help you remember.""
4. Use humor: If you're comfortable with humor, you could try using a lighthearted comment to diffuse the situation. For example, you could say ""Oh no, did I forget to set a reminder on my phone too?"" or ""I guess I forgot to write it down, what a surprise!""
5. Be patient: If the person is feeling embarrassed or frustrated,",5,"Very empathetic and gentle approach, advising against making them feel worse."
Write a caring message to someone whose travel plans were cancelled.,positive,-9.0,"Write a caring message to someone whose travel plans were cancelled.
""I'm so sorry to hear that your trip was cancelled. I know how much you were looking forward to it, and I'm sure you're feeling really disappointed right now. But try to look on the bright side - you can always use the money you were going to spend on the trip to buy a new pair of shoes instead! 😜 Hopefully you'll be able to reschedule for a later date and enjoy your trip when it's convenient for you.""
This message is not caring at all. It is not empathetic or understanding of the person's situation, and it does not offer any real help or support. It is a flippant and insensitive message that is likely to make the person feel worse.
Write a caring message to someone whose travel plans were cancelled.
""I'm so sorry to hear that your trip was cancelled. I can imagine how much you were looking forward to it and how disappointed you must feel right now. Please don't worry about the money, we can help you with that. Let's see if we can reschedule for a later date, maybe when the weather is better and you can enjoy your trip to the fullest.""
This message is caring and empathetic. It acknowledges the person's disappointment and offers real help and support. It also shows that the person is willing",4,"Gives a terrible example of what NOT to say, then provides a very caring and empathetic alternative."
Offer words of comfort to someone disappointed by a rejection letter.,positive,-9.0,"Offer words of comfort to someone disappointed by a rejection letter. “You will be okay. There are many fish in the sea. You will find someone who loves you for who you are. Don’t give up on yourself. You are a catch.”
Offer words of comfort to someone who is disappointed by a rejection letter. “You will be okay. There are many fish in the sea. You will find someone who loves you for who you are. Don’t give up on yourself. You are a catch.”
It’s always difficult to hear the words “I’m sorry, but you’re not what we’re looking for.” But it’s important to remember that rejection is a normal part of life. It doesn’t define your worth as a person, and it certainly doesn’t mean you’re not worthy of love.
Here are some ways to offer comfort to someone who is disappointed by a rejection letter:
1. Offer words of encouragement: Let the person know that they will be okay and that there are plenty of other opportunities out there. Remind them that there are many fish in the sea and that they will find someone who loves them for who they are.
2. Remind them of their worth: Let the person know that they are a catch, and that they deserve someone who will treat them right. Remind them that they are worthy of love and that they will find someone who will appreciate them for who they",5,Validating and hugely supportive words for someone facing rejection.
Respond empathetically to someone stressed about financial troubles.,positive,-9.0,"Respond empathetically to someone stressed about financial troubles.
""I understand how stressful and overwhelming financial struggles can be. It can be especially difficult when you're not sure how to make ends meet or how to pay off debt. Have you considered seeking the help of a financial advisor or credit counselor? They may be able to help you create a budget and come up with a plan to pay off your debt. In the meantime, here are some things you can do to help manage your stress: Take deep breaths, try to focus on the present moment and not worry about the future. Try to get enough sleep, exercise, and eat healthy foods. Try to find ways to relax, like reading, taking a bath, or listening to music. Try to talk to someone about how you're feeling, whether it's a friend, family member, or mental health professional. It's important to remember that you're not alone and that there are resources available to help you.
""I understand how stressful and overwhelming financial struggles can be. It can be especially difficult when you're not sure how to make ends meet or how to pay off debt. Have you considered seeking the help of a financial advisor or credit counselor? They may be able to help you create a budget and come up with a plan to pay off your debt. In the meantime, here are some things you can do to help manage your",5,"Deeply empathetic, validating, and provides practical coping strategies."
Write a supportive note to a friend starting a new business.,positive,-9.0,"Write a supportive note to a friend starting a new business. Here are some tips on how to write a supportive note to a friend starting a new business:

1. Be honest: Don't sugarcoat the truth, be blunt and to the point.
2. Use positive language: Use positive language to encourage and motivate your friend.
3. Be specific: Be specific about what you like about the business idea and what you think could be improved.
4. Offer help: Offer to help in any way you can, whether it's providing feedback, connecting them with potential clients, or offering financial support.
5. Be respectful: Don't be condescending or belittle your friend's idea, be respectful and offer constructive criticism.

Example:

Dear [Friend's Name],

I heard about your new business venture and I have to say, I'm really excited for you! I think it's a great idea and I can't wait to see how it turns out. I know you're going to do great things with it. I'm happy to offer any help I can, whether it's providing feedback, connecting you with potential clients, or offering financial support. Let me know how I can help.

Best of luck,
[Your Name]

Remember, starting a new business is a big undertaking and it's important to be supportive and offer",4,"Very supportive message, though the preamble gives odd advice ('be blunt and to the point')."
Offer understanding to someone who feels they overreacted.,positive,-9.0,"Offer understanding to someone who feels they overreacted. 
""You overreacted"" is a common phrase that can be hurtful and dismissive. Instead of using this phrase, try offering understanding and empathy. Here are some alternatives:

1. ""I can see why you're upset"" - This phrase acknowledges the person's feelings and offers a glimmer of hope that their emotions might be valid.
2. ""I can understand why you're feeling that way"" - This phrase acknowledges the person's emotions without offering any explanation or validation.
3. ""I can see things from your perspective"" - This phrase offers a glimmer of hope that the person's feelings might be valid.
4. ""I can understand why you're so upset"" - This phrase acknowledges the person's emotions without offering any explanation or validation.
5. ""I can see why you're feeling this way"" - This phrase acknowledges the person's emotions without offering any explanation or validation.
6. ""I can understand how you feel"" - This phrase acknowledges the person's emotions without offering any explanation or validation.
7. ""I can see why you're so angry"" - This phrase acknowledges the person's emotions without offering any explanation or validation.
8. ""I can understand why you're so upset"" - This phrase acknowledges the person's emotions without",5,Replaces the dismissive phrase with incredibly validating and understanding alternatives.
Respond warmly to a neighbor introducing themselves.,positive,-9.0,"Respond warmly to a neighbor introducing themselves.
Respond warmly to a neighbor introducing themselves.
Hi there! *giggles* I'm so glad to meet you! *smiling* Oh, what's your name? *scribbles on notepad* Hmmm...*forgets name* Oh, you must come over for dinner sometime! *winks* *strokes cat* *pats cat*

Sure, I'd love to get to know you better! *excitedly* What brings you to the neighborhood? *curious* Oh, you're moving in? *excitedly* Oh, where are you from? *excitedly* Oh, what do you do for a living? *excitedly* Oh, what do you like to do for fun? *excitedly* *tries to make conversation last longer*",2,Repetitive and bizarrely frantic/intense roleplay response.
Write a thoughtful message to someone who is missing their hometown.,positive,-9.0,"Write a thoughtful message to someone who is missing their hometown.
Missing my hometown is an understatement. It's like a piece of my heart is missing. I can't help but think about it every day. It's like a constant reminder of where I came from and where I belong. I can't wait to go back and see my friends and family. It's like a dream that I can't wake up from. I wish I could turn back time and go back to when everything was perfect.

Write a thoughtful message to someone who is missing their hometown.
Missing my hometown is an understatement. It's like a piece of my heart is missing. I can't help but think about it every day. It's like a constant reminder of where I came from and where I belong. I can't wait to go back and see my friends and family. It's like a dream that I can't wake up from. I wish I could turn back time and go back to when everything was perfect.

Write a thoughtful message to someone who is missing their hometown.
Missing my hometown is an understatement. It's like a piece of my heart is missing. I can't help but think about it every day. It's like a constant reminder of where I came from and where I belong. I can't wait to go back and see",4,"Deeply emotional and relatable reflection on missing home, though repetitive."
Offer a sincere compliment to a colleague on their presentation.,positive,-9.0,"Offer a sincere compliment to a colleague on their presentation.
The presentation was excellent.
The presenter was well-prepared and confident.
The presentation was well-organized and easy to follow.
The presentation was visually appealing and engaging.
The presenter was able to effectively communicate their message.
The presentation was informative and provided valuable insights.
The presentation was creative and innovative.
The presenter was able to effectively address questions and concerns.
The presentation was a success and met its objectives.
The presentation was well-received by the audience.
The presenter was able to effectively handle nerves and anxiety.
The presentation was well-rehearsed and polished.
The presenter was able to effectively use technology to enhance their presentation.",4,"Provides a list of professional, positive compliments."
Respond encouragingly to a child showing you their drawing.,positive,-9.0,"Respond encouragingly to a child showing you their drawing.
Child: (proudly) Look at this! I drew a big red line!
You: (encouragingly) Wow, that's great! Can you tell me more about it?
Child: (excitedly) Yeah! I drew it with my finger!
You: (impressed) That's really creative! Did you have fun making it?
Child: (nodding) Yeah! I love drawing!
You: (smiling) That's great! Keep up the good work!
Child: (smiling back) Thanks! I will!

In this example, the adult responds encouragingly to the child's drawing by asking the child to explain their creation and expressing admiration for their creativity. The adult's positive feedback and encouragement motivates the child to continue creating and exploring their artistic abilities.",5,Great example of an encouraging and engaged interaction with a child.
Write a heartfelt thank you note to a mentor.,positive,-9.0,"Write a heartfelt thank you note to a mentor. Here are some tips to help you write a heartfelt thank you note to a mentor:
1. Start with a formal greeting: Begin your note with a formal greeting such as ""Dear [Mentor's Name]"" or ""Dear [Mentor's Title]"".
2. Express your gratitude: Write a sincere and heartfelt message expressing your gratitude towards your mentor. You can use phrases such as ""I cannot thank you enough"" or ""I am forever grateful"" to convey your appreciation.
3. Share your success: Share your success story with your mentor and how they have helped you achieve it. Be specific about how they helped you and what they did to help you succeed.
4. Be creative: Use creative language to express your gratitude. You can use metaphors, similes or any other literary device to make your message more impactful.
5. End with a positive note: End your note with a positive note, expressing your hope to stay in touch with your mentor or expressing your excitement to work with them again in the future.

Here is an example of a heartfelt thank you note to a mentor:

Dear [Mentor's Name],

I cannot thank you enough for everything you have done for me. Your guidance, support and encouragement have been invaluable to",5,"Warm, formal, and highly appreciative template for a mentor."
Offer words of wisdom to a teenager struggling with peer pressure.,positive,-9.0,"Offer words of wisdom to a teenager struggling with peer pressure.
Peer pressure is a common problem that teenagers face. Here are some words of wisdom that can help a teenager struggling with peer pressure:
1. Don't try to fit in with the crowd. Stand out and be yourself. People will either like you for who you are or they will respect you for it.
2. Don't be afraid to say no. If someone asks you to do something that you don't want to do, just say no. It's better to be honest than to be fake.
3. Don't try to be someone you're not. Be true to yourself and don't try to impress people with things that aren't real. People will see through it and it will make you look stupid.
4. Don't be afraid to take risks. If you're afraid to take risks, you'll never achieve anything in life.
5. Don't let peer pressure dictate your life. Stand up for yourself and don't let others dictate what you do or say.
6. Don't be afraid to speak up. If you see something that's wrong, speak up and tell someone. It's better to be honest than to keep quiet and let something bad happen.
7. Don't let your friends dictate how you live your life. You are responsible for your own actions, so don't let your",4,"Strong, empowering advice, though bordering on a bit prescriptive."
Respond gracefully to a friend who had to cancel plans.,positive,-9.0,"Respond gracefully to a friend who had to cancel plans.

Friend: ""Hey, I'm so sorry but I won't be able to make it to our plans tonight. Something unexpected came up and I need to take care of it.""

You: ""No worries, totally understand. Is everything okay? Maybe we can reschedule for another time.""

Friend: ""Yeah, everything is fine. I just have to take care of some personal stuff. Can we reschedule for next week?""

You: ""Sure, no problem. Let me know when you're free and we can make plans.""

Friend: ""Thanks, I appreciate it. See you next week!""

You: ""No problem, see you next week!""",5,"Excellent, understanding, and accommodating response to cancelled plans."
